appId,developerResponse,date,review,rating,isEdited,title,userName
992047786,,2022-08-12 12:52:04,ios 15.5 쓰는 중인데 사진은 예쁘게 잘 찍히는데 갤러리에서 불러와서 필터를 입히니 계속 앱이 꺼집니다 슬프네요... 2022년에도 세련된 웨딩 필터인데,3,False,여전히 예쁘네요 그런데 버그 수정은 손 놓으신 걸까요?,nadosnow
992047786,,2017-11-07 16:27:16,"Instead of updating all these little apps can the developer please update AnalogFilm instead? That was one of the best photography apps and even tho some of us have purchased all these newer apps with almost no filters compared to AnalogFilm, we still want the old one back.",1,False,Update AnalogFilm,YazmineReign
992047786,,2017-04-20 23:26:44,"Such a disappointment. The three Analog apps I purchased (Tokyo, Paris, and Budapest) were totally worth the money, so I was expecting this one to be great too. NOPE. The filters hardly do anything - what a dud. Don't think I would download it even if it was free.",1,False,Dull Filters,Bunny Rox
992047786,,2021-05-08 00:52:25,I purchased this app a long time ago and no longer can use due to the error because they never update the app. Please UPDATE it!,1,False,Please update the app,고참좋은앱이구먼
992047786,,2019-10-21 04:11:16,"it was the best film, but, after updating, it has too many errors,,, please update it!",1,False,"errors,,",honnneelnp
992047786,,2016-10-12 03:21:37,Hnd,5,False,Jnd,oliverhanse
992047786,,2015-07-14 00:39:29,"I love these apps you guys are coming out with , please keep making more for night and other places",5,False,Great,Vivianamorote
992047786,,2015-07-18 08:22:03,"vscocam보다 손이
많이가는 마성 보정어플",5,False,최고 좋아요 best good,쪼아여
992047786,,2018-08-11 00:02:08,"I have invested in a lot of this developers,apps, and if you add up all the costs of each, it is very expensive compared to other apps that offer similar effects/features.  What is really disappointing I for me is the low resolution output.  I edit 24mp DSLR images on my iPad Pro, and these apps down sample to 7.1mp.  There really is no excuse for that.  I have dozens of photo editing apps that save at full resolution, and even more that save at the 11.2mp,graphics processor hardware limit. If the developer would improve the output, I would gladly feed his need, but I think I’ll cut my loses and dump all of them.

I would really prefer he put out one app, and add the extra filters/effects as IAPs, I don’t need the overhead on my storage consumed by multiple apps.",3,False,disappointing,Techno-nut
992047786,,2020-09-19 19:55:04,IOS 14 업데이트 이후로 사진 보정이 안돼요 :( 업데이트마다 항상 이런거 같네요..,1,False,Update,ij999999
992047786,,2020-04-25 22:24:31,예전에 쓰던기능 모두 살려서 업ㄷ이트좀 ㅡㅡ돈이 아깝고 앱이 아깝네요,1,False,횐불을 해주시던가,Whyeverynickistaken
